date,rate
2022-01-04,2.1500
2022-01-05,2.1748
2022-01-06,2.1400
2022-01-07,2.1200
2022-01-10,2.1100
2022-01-11,2.1500
2022-01-12,2.1500
2022-01-13,2.2000
2022-01-14,2.2800
2022-01-17,2.2200
2022-01-18,2.2000
2022-01-19,2.1660
2022-01-20,2.1700
2022-01-21,2.1500
2022-01-24,2.0800
2022-01-25,2.0000
2022-01-26,2.0400
2022-01-27,2.5800
2022-01-28,2.5500
2022-01-29,2.3000
2022-01-30,2.2700
2022-02-07,2.1800
2022-02-08,2.1600
2022-02-09,2.0500
2022-02-10,2.0000
2022-02-11,2.0000
2022-02-14,2.0200
2022-02-15,2.0500
2022-02-16,2.0760
2022-02-17,2.0500
2022-02-18,2.1000
2022-02-21,2.1500
2022-02-22,2.4000
2022-02-23,2.4500
2022-02-24,2.4500
2022-02-25,2.5000
2022-02-28,2.3800
2022-03-01,2.1000
2022-03-02,2.0900
2022-03-03,2.0500
2022-03-04,2.0500
2022-03-07,2.0600
2022-03-08,2.1000
2022-03-09,2.0900
2022-03-10,2.1000
2022-03-11,2.1481
2022-03-14,2.1500
2022-03-15,2.2000
2022-03-16,2.2000
2022-03-17,2.1700
2022-03-18,2.1300
2022-03-21,2.1700
2022-03-22,2.1800
2022-03-23,2.1500
2022-03-24,2.0900
2022-03-25,2.6000
2022-03-28,2.4100
2022-03-29,3.1000
2022-03-30,3.1000
2022-03-31,2.5250
2022-04-01,2.1000
2022-04-02,1.8200
2022-04-06,2.1000
2022-04-07,2.1000
2022-04-08,2.0000
2022-04-11,2.0000
2022-04-12,2.0000
2022-04-13,1.9600
2022-04-14,1.9500
2022-04-15,1.8600
2022-04-18,1.9000
2022-04-19,1.8500
2022-04-20,1.8500
2022-04-21,1.7700
2022-04-22,1.7000
2022-04-24,1.8000
2022-04-25,1.7500
2022-04-26,1.9000
2022-04-27,2.0000
2022-04-28,2.0000
2022-04-29,2.0200
2022-05-05,1.8568
2022-05-06,1.8314
2022-05-07,1.6000
2022-05-09,1.7800
2022-05-10,1.6500
2022-05-11,1.6500
2022-05-12,1.6000
2022-05-13,1.6000
2022-05-16,1.6500
2022-05-17,1.6000
2022-05-18,1.6200
2022-05-19,1.6000
2022-05-20,1.6500
2022-05-23,1.6000
2022-05-24,1.6400
2022-05-25,1.8200
2022-05-26,1.8700
2022-05-27,1.8500
2022-05-30,1.8500
2022-05-31,1.8600
2022-06-01,1.6400
2022-06-02,1.6500
2022-06-06,1.6800
2022-06-07,1.6500
2022-06-08,1.6500
2022-06-09,1.6500
2022-06-10,1.6200
2022-06-13,1.6500
2022-06-14,1.6300
2022-06-15,1.6300
2022-06-16,1.6500
2022-06-17,1.7000
2022-06-20,1.7000
2022-06-21,1.7500
2022-06-22,1.7373
2022-06-23,1.6500
2022-06-24,2.5000
2022-06-27,2.5000
2022-06-28,2.5000
2022-06-29,2.5000
2022-06-30,2.5000
2022-07-01,1.7500
2022-07-04,1.6000
2022-07-05,1.7000
2022-07-06,1.7000
2022-07-07,1.6500
2022-07-08,1.6000
2022-07-11,1.6000
2022-07-12,1.6000
2022-07-13,1.5900
2022-07-14,1.6000
2022-07-15,1.5700
2022-07-18,1.6103
2022-07-19,1.6000
2022-07-20,1.6000
2022-07-21,1.6000
2022-07-22,1.5500
2022-07-25,1.8000
2022-07-26,1.7500
2022-07-27,1.7000
2022-07-28,1.7000
2022-07-29,1.6500
2022-08-01,1.5500
2022-08-02,1.5000
2022-08-03,1.4000
2022-08-04,1.4000
2022-08-05,1.4000
2022-08-08,1.3700
2022-08-09,1.3737
2022-08-10,1.4000
2022-08-11,1.4000
2022-08-12,1.4500
2022-08-15,1.4100
2022-08-16,1.4000
2022-08-17,1.5000
2022-08-18,1.5000
2022-08-19,1.5000
2022-08-22,1.5000
2022-08-23,1.4500
2022-08-24,1.4500
2022-08-25,1.7000
2022-08-26,1.8000
2022-08-29,1.8000
2022-08-30,1.7500
2022-08-31,1.7000
2022-09-01,1.5000
2022-09-02,1.5199
2022-09-05,1.5000
2022-09-06,1.5000
2022-09-07,1.5100
2022-09-08,1.5000
2022-09-09,1.5500
2022-09-13,1.5500
2022-09-14,1.6000
2022-09-15,1.6000
2022-09-16,1.6300
2022-09-19,1.7000
2022-09-20,1.7500
2022-09-21,1.7400
2022-09-22,1.6500
2022-09-23,1.5500
2022-09-26,1.7900
2022-09-27,1.4500
2022-09-28,1.6854
2022-09-29,2.0600
2022-09-30,2.0600
2022-10-08,1.6500
2022-10-09,1.4000
2022-10-10,1.5401
2022-10-11,1.6000
2022-10-12,1.6100
2022-10-13,1.6200
2022-10-14,1.6000
2022-10-17,1.5500
2022-10-18,1.5249
2022-10-19,1.5800
2022-10-20,1.6000
2022-10-21,1.6700
2022-10-24,1.7100
2022-10-25,2.2000
2022-10-26,2.2000
2022-10-27,2.2000
2022-10-28,1.9900
2022-10-31,1.9400
2022-11-01,1.8500
2022-11-02,1.8000
