Date,Rate
2024/1/2,2.1
2024/1/3,2.15
2024/1/4,2.25
2024/1/5,2.15
2024/1/8,2.2
2024/1/9,2.29
2024/1/10,2.2
2024/1/11,2.2
2024/1/12,2.2
2024/1/15,2.25
2024/1/16,2.25
2024/1/17,2.3
2024/1/18,2.2
2024/1/19,2.15
2024/1/22,2.1
2024/1/23,2.15
2024/1/24,2.12
2024/1/25,2.35
2024/1/26,2.4
2024/1/29,2.5
2024/1/30,2.35
2024/1/31,2.35
2024/2/1,1.95
2024/2/2,2.21
2024/2/4,1.9544
2024/2/5,1.931
2024/2/6,1.95
2024/2/7,1.95
2024/2/8,1.8
2024/2/9,1.85
2024/2/18,1.81
2024/2/19,2.05
2024/2/20,1.95
2024/2/21,2
2024/2/22,2
2024/2/23,2.2
2024/2/26,2.15
2024/2/27,2.15
2024/2/28,2.1
2024/2/29,2.05
2024/3/1,2
2024/3/4,2
2024/3/5,2.04
2024/3/6,2.05
2024/3/7,2
2024/3/8,2
2024/3/11,2
2024/3/12,2
2024/3/13,2
2024/3/14,2
2024/3/15,2
2024/3/18,2
2024/3/19,2
2024/3/20,2
2024/3/21,2
2024/3/22,2.05
2024/3/25,2.4
2024/3/26,2.4
2024/3/27,2.45
2024/3/28,2.35
2024/3/29,2.3
2024/4/1,2.05
2024/4/2,2.1
2024/4/3,2
2024/4/7,1.85
2024/4/8,2
2024/4/9,1.95
2024/4/10,1.9
2024/4/11,1.92
2024/4/12,1.9
2024/4/15,1.9
2024/4/16,1.9
2024/4/17,1.95
2024/4/18,1.9
2024/4/19,1.9
2024/4/22,1.9
2024/4/23,1.9
2024/4/24,1.9
2024/4/25,1.98
2024/4/26,1.95
2024/4/28,1.98
2024/4/29,2.08
2024/4/30,2.1
2024/5/6,1.95
2024/5/7,1.9
2024/5/8,1.9
2024/5/9,1.9
2024/5/10,1.87
2024/5/11,1.85
2024/5/13,1.88
2024/5/14,1.85
2024/5/15,1.82
2024/5/16,1.82
2024/5/17,1.8
2024/5/20,1.81
2024/5/21,1.85
2024/5/22,1.85
2024/5/23,1.83
2024/5/24,1.82
2024/5/27,1.95
2024/5/28,1.95
2024/5/29,1.98
2024/5/30,1.95
2024/5/31,1.88
2024/6/3,1.84
2024/6/4,1.83
2024/6/5,1.84
2024/6/6,1.84
2024/6/7,1.85
2024/6/11,1.83
2024/6/12,1.83
2024/6/13,1.83
2024/6/14,1.83
2024/6/17,1.85
2024/6/18,1.89
2024/6/19,1.91
2024/6/20,1.9
2024/6/21,2.03
2024/6/24,2.35
2024/6/25,2.3
2024/6/26,2.3
2024/6/27,2.35
2024/6/28,2.3
2024/7/1,1.95
2024/7/2,1.85
